event_id,event_date,asset_id,asset_group,region,event_category,duration_minutes,severity,customers_affected,year,month,quarter,day_of_week,season
197,2024-08-14,A028,Feeder,North,Overload,149,3,196,2024,8,3,Wednesday,Summer
198,2024-08-12,A036,Line,North,Overload,138,4,263,2024,8,3,Monday,Summer
199,2024-04-06,A037,Breaker,South,Inspection Follow-up,18,2,179,2024,4,2,Saturday,Spring
200,2024-10-01,A007,Transformer,North,Equipment Failure,151,5,95,2024,10,4,Tuesday,Fall
201,2024-09-16,A023,Switch,Central,Inspection Follow-up,78,1,76,2024,9,3,Monday,Fall
202,2024-06-03,A001,Transformer,North,Vegetation,133,1,200,2024,6,2,Monday,Summer
203,2024-11-19,A024,Transformer,West,Overload,117,4,216,2024,11,4,Tuesday,Fall
204,2024-10-08,A012,Switch,South,Overload,115,4,66,2024,10,4,Tuesday,Fall
205,2024-01-09,A037,Breaker,South,Weather,187,4,144,2024,1,1,Tuesday,Winter
206,2024-06-18,A014,Line,North,Equipment Failure,107,3,291,2024,6,2,Tuesday,Summer
207,2024-03-13,A025,Transformer,Central,Weather,272,5,131,2024,3,1,Wednesday,Spring
208,2024-04-14,A011,Feeder,Central,Weather,200,2,147,2024,4,2,Sunday,Spring
209,2024-07-03,A036,Line,North,Inspection Follow-up,45,3,107,2024,7,3,Wednesday,Summer
210,2024-11-09,A019,Transformer,West,Inspection Follow-up,41,2,79,2024,11,4,Saturday,Fall
211,2024-01-05,A006,Switch,North,Inspection Follow-up,62,2,88,2024,1,1,Friday,Winter
212,2024-05-03,A007,Transformer,North,Weather,231,3,157,2024,5,2,Friday,Spring
213,2024-04-27,A026,Line,Central,Weather,188,5,296,2024,4,2,Saturday,Spring
214,2024-09-26,A010,Transformer,Central,Inspection Follow-up,26,2,120,2024,9,3,Thursday,Fall
215,2024-03-09,A027,Line,Central,Weather,166,2,328,2024,3,1,Saturday,Spring
216,2024-05-10,A026,Line,Central,Equipment Failure,245,4,270,2024,5,2,Friday,Spring
217,2024-08-07,A018,Line,North,Overload,65,3,389,2024,8,3,Wednesday,Summer
218,2024-04-27,A027,Line,Central,Overload,54,4,348,2024,4,2,Saturday,Spring
219,2024-06-16,A013,Switch,Central,Weather,123,3,27,2024,6,2,Sunday,Summer
220,2024-11-08,A039,Feeder,West,Overload,129,3,145,2024,11,4,Friday,Fall
221,2024-07-13,A014,Line,North,Vegetation,95,2,391,2024,7,3,Saturday,Summer
222,2024-11-04,A023,Switch,Central,Overload,117,2,92,2024,11,4,Monday,Fall
223,2024-11-05,A031,Feeder,North,Weather,146,4,243,2024,11,4,Tuesday,Fall
224,2024-09-10,A002,Line,South,Overload,143,3,353,2024,9,3,Tuesday,Fall
225,2024-12-28,A011,Feeder,Central,Inspection Follow-up,31,2,165,2024,12,4,Saturday,Winter
226,2024-04-17,A020,Transformer,East,Overload,135,3,212,2024,4,2,Wednesday,Spring
227,2024-08-11,A008,Feeder,South,Overload,53,3,193,2024,8,3,Sunday,Summer
228,2024-07-16,A012,Switch,South,Vegetation,30,2,129,2024,7,3,Tuesday,Summer
229,2024-05-05,A025,Transformer,Central,Weather,69,4,51,2024,5,2,Sunday,Spring
230,2024-11-05,A007,Transformer,North,Overload,82,3,183,2024,11,4,Tuesday,Fall
231,2024-02-12,A022,Line,North,Overload,82,4,91,2024,2,1,Monday,Winter
232,2024-07-04,A003,Feeder,South,Overload,176,4,473,2024,7,3,Thursday,Summer
233,2024-02-17,A036,Line,North,Vegetation,49,1,390,2024,2,1,Saturday,Winter
234,2024-01-18,A040,Switch,East,Weather,132,3,95,2024,1,1,Thursday,Winter
235,2024-02-24,A032,Switch,East,Equipment Failure,213,5,43,2024,2,1,Saturday,Winter
236,2024-02-28,A007,Transformer,North,Vegetation,88,1,124,2024,2,1,Wednesday,Winter
237,2024-07-15,A003,Feeder,South,Weather,278,4,295,2024,7,3,Monday,Summer
238,2024-10-13,A018,Line,North,Overload,147,2,327,2024,10,4,Sunday,Fall
239,2024-12-28,A023,Switch,Central,Inspection Follow-up,76,1,100,2024,12,4,Saturday,Winter
240,2024-09-20,A034,Feeder,East,Inspection Follow-up,81,2,466,2024,9,3,Friday,Fall
241,2024-09-21,A004,Transformer,Central,Weather,224,3,134,2024,9,3,Saturday,Fall
242,2024-07-14,A025,Transformer,Central,Overload,157,3,80,2024,7,3,Sunday,Summer
243,2024-10-20,A003,Feeder,South,Inspection Follow-up,53,2,234,2024,10,4,Sunday,Fall
244,2024-03-16,A031,Feeder,North,Vegetation,44,3,387,2024,3,1,Saturday,Spring
245,2024-11-27,A009,Breaker,Central,Overload,90,3,41,2024,11,4,Wednesday,Fall
246,2024-03-23,A038,Breaker,South,Weather,257,3,160,2024,3,1,Saturday,Spring
247,2024-05-15,A038,Breaker,South,Equipment Failure,298,5,117,2024,5,2,Wednesday,Spring
248,2024-12-21,A009,Breaker,Central,Equipment Failure,244,5,63,2024,12,4,Saturday,Winter
249,2024-01-17,A012,Switch,South,Inspection Follow-up,29,3,93,2024,1,1,Wednesday,Winter
250,2024-01-12,A007,Transformer,North,Weather,157,4,87,2024,1,1,Friday,Winter
