year,month,region,asset_group,total_events,total_duration_minutes,avg_duration_minutes,avg_severity,total_customers_affected
2024,6,North,Transformer,3,374,124.66666666666667,1.6666666666666667,614
2024,6,South,Breaker,1,36,36.0,3.0,142
2024,6,South,Line,1,46,46.0,2.0,247
2024,6,South,Transformer,1,74,74.0,1.0,249
2024,6,West,Feeder,2,176,88.0,3.5,725
2024,7,Central,Line,1,114,114.0,4.0,410
2024,7,Central,Transformer,5,519,103.8,2.8,666
2024,7,North,Feeder,2,171,85.5,2.0,576
2024,7,North,Line,6,609,101.5,3.0,1378
2024,7,North,Transformer,1,170,170.0,4.0,193
2024,7,South,Breaker,3,504,168.0,3.6666666666666665,317
2024,7,South,Feeder,2,454,227.0,4.0,768
2024,7,South,Line,1,117,117.0,3.0,110
2024,7,South,Switch,1,30,30.0,2.0,129
2024,7,West,Transformer,2,288,144.0,3.0,222
2024,8,Central,Line,1,100,100.0,2.0,182
2024,8,Central,Switch,2,213,106.5,3.0,208
2024,8,Central,Transformer,3,397,132.33333333333334,3.0,301
2024,8,East,Feeder,2,233,116.5,4.0,596
2024,8,East,Line,1,36,36.0,3.0,378
2024,8,East,Switch,2,240,120.0,3.5,226
2024,8,North,Feeder,3,405,135.0,3.0,758
2024,8,North,Line,2,203,101.5,3.5,652
2024,8,North,Switch,1,70,70.0,3.0,27
2024,8,North,Transformer,1,252,252.0,5.0,92
2024,8,South,Feeder,3,297,99.0,2.3333333333333335,766
2024,8,South,Line,1,118,118.0,4.0,185
2024,9,Central,Line,3,367,122.33333333333333,3.3333333333333335,1021
2024,9,Central,Switch,1,78,78.0,1.0,76
2024,9,Central,Transformer,5,545,109.0,2.6,587
2024,9,East,Feeder,1,81,81.0,2.0,466
2024,9,North,Line,1,282,282.0,5.0,138
2024,9,North,Switch,1,134,134.0,4.0,111
2024,9,South,Feeder,2,143,71.5,3.5,517
2024,9,South,Line,2,343,171.5,4.0,600
2024,9,South,Switch,1,59,59.0,3.0,131
2024,9,South,Transformer,2,145,72.5,3.0,377
2024,9,West,Transformer,1,39,39.0,3.0,113
2024,10,Central,Transformer,2,173,86.5,2.0,298
2024,10,East,Feeder,1,98,98.0,3.0,262
2024,10,East,Switch,1,38,38.0,1.0,83
2024,10,North,Feeder,2,153,76.5,4.0,311
2024,10,North,Line,3,444,148.0,3.6666666666666665,1009
2024,10,North,Transformer,3,620,206.66666666666666,4.333333333333333,292
2024,10,South,Feeder,1,53,53.0,2.0,234
2024,10,South,Line,2,127,63.5,2.5,503
2024,10,South,Switch,1,115,115.0,4.0,66
2024,11,Central,Breaker,1,90,90.0,3.0,41
2024,11,Central,Feeder,1,96,96.0,3.0,316
2024,11,Central,Line,1,222,222.0,5.0,353
2024,11,Central,Switch,2,265,132.5,3.0,230
2024,11,Central,Transformer,2,256,128.0,3.5,479
2024,11,East,Feeder,1,149,149.0,5.0,190
2024,11,East,Line,1,58,58.0,4.0,284
2024,11,East,Switch,2,212,106.0,3.0,175
2024,11,East,Transformer,1,61,61.0,2.0,90
2024,11,North,Feeder,1,146,146.0,4.0,243
2024,11,North,Line,7,916,130.85714285714286,3.4285714285714284,1463
2024,11,North,Transformer,2,190,95.0,4.0,241
2024,11,South,Breaker,1,63,63.0,5.0,51
2024,11,South,Line,1,122,122.0,2.0,176
2024,11,West,Feeder,2,323,161.5,2.5,349
2024,11,West,Transformer,4,362,90.5,3.0,633
2024,12,Central,Breaker,2,379,189.5,4.0,168
2024,12,Central,Feeder,2,108,54.0,1.5,408
2024,12,Central,Switch,2,272,136.0,2.0,215
2024,12,East,Switch,2,116,58.0,3.5,54
2024,12,North,Line,1,24,24.0,2.0,249
2024,12,North,Switch,1,177,177.0,4.0,68
2024,12,South,Feeder,1,42,42.0,4.0,476
2024,12,South,Line,2,172,86.0,3.0,688
2024,12,South,Switch,1,130,130.0,3.0,93
2024,12,West,Feeder,1,85,85.0,3.0,162
2024,12,West,Transformer,1,103,103.0,4.0,108
