event_id,event_date,asset_id,asset_group,region,event_category,duration_minutes,severity,customers_affected
43,2024-07-15,A005,Transformer,Central,Overload,53,2,80
44,2024-04-06,A029,Transformer,South,Vegetation,84,1,104
45,2024-05-26,A036,Line,North,Weather,100,4,312
46,2024-02-15,A038,Breaker,South,Equipment Failure,119,3,142
47,2024-04-22,A020,Transformer,East,Overload,166,3,132
48,2024-02-16,A037,Breaker,South,Inspection Follow-up,88,3,155
49,2024-06-09,A023,Switch,Central,Overload,66,3,136
50,2024-04-09,A021,Line,Central,Weather,257,5,335
51,2024-04-27,A036,Line,North,Equipment Failure,202,5,87
52,2024-04-20,A008,Feeder,South,Overload,79,3,244
53,2024-08-18,A033,Switch,East,Equipment Failure,160,3,145
54,2024-06-24,A031,Feeder,North,Vegetation,127,2,316
55,2024-07-28,A031,Feeder,North,Overload,78,2,389
56,2024-04-21,A010,Transformer,Central,Weather,180,2,233
57,2024-07-05,A019,Transformer,West,Equipment Failure,113,3,133
58,2024-08-21,A016,Line,East,Inspection Follow-up,36,3,378
59,2024-05-07,A017,Feeder,South,Overload,159,3,447
60,2024-05-25,A025,Transformer,Central,Overload,131,2,151
61,2024-06-24,A015,Feeder,West,Inspection Follow-up,47,3,278
62,2024-12-28,A009,Breaker,Central,Weather,135,3,105
63,2024-10-13,A022,Line,North,Weather,179,4,312
64,2024-03-02,A024,Transformer,West,Weather,232,4,212
65,2024-12-24,A003,Feeder,South,Vegetation,42,4,476
66,2024-09-21,A010,Transformer,Central,Overload,165,2,163
67,2024-03-26,A023,Switch,Central,Weather,161,2,105
68,2024-05-26,A037,Breaker,South,Equipment Failure,302,3,168
69,2024-02-24,A012,Switch,South,Weather,229,4,127
70,2024-11-01,A005,Transformer,Central,Overload,171,4,236
71,2024-09-23,A004,Transformer,Central,Overload,67,3,87
72,2024-04-14,A021,Line,Central,Overload,156,4,190
73,2024-02-14,A022,Line,North,Overload,64,3,114
74,2024-06-04,A007,Transformer,North,Vegetation,101,1,220
75,2024-01-06,A037,Breaker,South,Inspection Follow-up,43,2,98
76,2024-07-15,A018,Line,North,Vegetation,30,2,351
77,2024-11-14,A022,Line,North,Equipment Failure,169,3,121
78,2024-11-10,A032,Switch,East,Inspection Follow-up,80,2,144
79,2024-03-05,A003,Feeder,South,Equipment Failure,243,3,181
80,2024-07-23,A025,Transformer,Central,Inspection Follow-up,24,1,167
81,2024-02-13,A027,Line,Central,Vegetation,32,3,303
82,2024-03-09,A020,Transformer,East,Vegetation,129,2,236
83,2024-03-15,A013,Switch,Central,Equipment Failure,129,4,102
84,2024-02-21,A005,Transformer,Central,Overload,110,3,165
85,2024-02-26,A006,Switch,North,Inspection Follow-up,89,3,35
86,2024-11-21,A022,Line,North,Weather,189,5,289
87,2024-11-23,A022,Line,North,Weather,144,4,152
88,2024-09-12,A026,Line,Central,Equipment Failure,271,5,349
89,2024-10-05,A002,Line,South,Vegetation,57,2,339
90,2024-04-18,A039,Feeder,West,Overload,82,4,347
91,2024-05-02,A016,Line,East,Vegetation,90,3,162
92,2024-08-12,A031,Feeder,North,Vegetation,121,2,195
93,2024-03-02,A002,Line,South,Overload,135,2,412
94,2024-05-08,A019,Transformer,West,Overload,160,3,88
95,2024-01-20,A020,Transformer,East,Weather,72,2,197
96,2024-12-01,A023,Switch,Central,Equipment Failure,196,3,115
97,2024-11-06,A023,Switch,Central,Weather,148,4,138
98,2024-01-25,A009,Breaker,Central,Weather,243,3,94
99,2024-08-23,A013,Switch,Central,Vegetation,129,3,106
100,2024-05-15,A032,Switch,East,Vegetation,64,2,103
101,2024-06-17,A039,Feeder,West,Overload,129,4,447
102,2024-11-15,A011,Feeder,Central,Weather,96,3,316
103,2024-09-13,A024,Transformer,West,Vegetation,39,3,113
104,2024-02-26,A036,Line,North,Weather,127,4,311
105,2024-08-01,A021,Line,Central,Vegetation,100,2,182
106,2024-02-05,A024,Transformer,West,Inspection Follow-up,26,3,172
107,2024-03-06,A021,Line,Central,Weather,175,3,143
108,2024-11-06,A021,Line,Central,Equipment Failure,222,5,353
109,2024-07-20,A038,Breaker,South,Inspection Follow-up,87,3,176
110,2024-07-16,A002,Line,South,Overload,117,3,110
111,2024-02-09,A030,Line,North,Equipment Failure,245,4,243
112,2024-09-15,A029,Transformer,South,Equipment Failure,114,3,234
113,2024-05-18,A032,Switch,East,Vegetation,41,2,146
114,2024-07-17,A001,Transformer,North,Weather,170,4,193
115,2024-09-02,A029,Transformer,South,Inspection Follow-up,31,3,143
116,2024-09-27,A003,Feeder,South,Weather,95,5,203
117,2024-05-21,A033,Switch,East,Inspection Follow-up,75,1,26
118,2024-06-14,A038,Breaker,South,Inspection Follow-up,36,3,142
119,2024-07-11,A010,Transformer,Central,Overload,168,4,193
120,2024-12-23,A012,Switch,South,Overload,130,3,93
121,2024-12-03,A032,Switch,East,Vegetation,101,4,30
122,2024-01-22,A023,Switch,Central,Overload,162,4,81
123,2024-11-16,A034,Feeder,East,Equipment Failure,149,5,190
124,2024-01-27,A031,Feeder,North,Equipment Failure,163,5,139
125,2024-09-15,A026,Line,Central,Overload,49,3,358
126,2024-10-28,A018,Line,North,Equipment Failure,118,5,370
127,2024-05-11,A026,Line,Central,Overload,142,3,276
128,2024-11-10,A020,Transformer,East,Inspection Follow-up,61,2,90
129,2024-11-25,A024,Transformer,West,Inspection Follow-up,34,3,190
130,2024-11-07,A039,Feeder,West,Weather,194,2,204
131,2024-07-09,A038,Breaker,South,Overload,154,3,35
132,2024-11-24,A001,Transformer,North,Equipment Failure,108,5,58
133,2024-01-25,A027,Line,Central,Vegetation,78,3,350
134,2024-11-14,A002,Line,South,Vegetation,122,2,176
135,2024-04-25,A040,Switch,East,Weather,121,5,79
136,2024-01-18,A004,Transformer,Central,Equipment Failure,164,3,183
137,2024-07-06,A038,Breaker,South,Equipment Failure,263,5,106
138,2024-04-11,A035,Line,South,Overload,116,3,278
139,2024-12-22,A006,Switch,North,Overload,177,4,68
140,2024-04-18,A036,Line,North,Equipment Failure,143,3,389
141,2024-06-14,A021,Line,Central,Vegetation,98,4,243
142,2024-09-21,A003,Feeder,South,Inspection Follow-up,48,2,314
143,2024-11-02,A022,Line,North,Vegetation,92,3,330
144,2024-06-02,A034,Feeder,East,Weather,274,5,124
145,2024-12-22,A040,Switch,East,Inspection Follow-up,15,3,24
146,2024-10-08,A028,Feeder,North,Equipment Failure,114,5,160
147,2024-02-16,A015,Feeder,West,Vegetation,138,4,148
148,2024-06-01,A028,Feeder,North,Vegetation,42,4,470
149,2024-12-24,A014,Line,North,Inspection Follow-up,24,2,249
150,2024-08-16,A006,Switch,North,Inspection Follow-up,70,3,27
151,2024-12-26,A015,Feeder,West,Vegetation,85,3,162
152,2024-09-18,A010,Transformer,Central,Overload,63,3,83
153,2024-04-19,A033,Switch,East,Overload,130,3,41
154,2024-08-26,A034,Feeder,East,Equipment Failure,187,4,342
155,2024-08-11,A005,Transformer,Central,Vegetation,122,2,151
156,2024-04-11,A028,Feeder,North,Inspection Follow-up,76,2,475
157,2024-05-27,A025,Transformer,Central,Vegetation,80,2,56
158,2024-07-18,A005,Transformer,Central,Overload,117,4,146
159,2024-11-22,A033,Switch,East,Overload,132,4,31
160,2024-06-01,A026,Line,Central,Vegetation,43,2,381
161,2024-08-24,A031,Feeder,North,Weather,135,4,367
162,2024-03-11,A029,Transformer,South,Vegetation,35,1,239
163,2024-07-01,A036,Line,North,Overload,143,3,181
164,2024-09-21,A014,Line,North,Equipment Failure,282,5,138
165,2024-06-04,A021,Line,Central,Inspection Follow-up,59,3,382
166,2024-03-16,A016,Line,East,Vegetation,77,2,329
167,2024-11-16,A019,Transformer,West,Equipment Failure,170,3,148
168,2024-09-04,A027,Line,Central,Overload,47,2,314
169,2024-01-15,A037,Breaker,South,Weather,128,2,106
170,2024-04-26,A017,Feeder,South,Vegetation,41,3,339
171,2024-01-09,A004,Transformer,Central,Inspection Follow-up,36,3,118
172,2024-02-21,A009,Breaker,Central,Equipment Failure,127,4,145
173,2024-09-13,A006,Switch,North,Overload,134,4,111
174,2024-11-26,A014,Line,North,Overload,108,4,104
175,2024-11-12,A030,Line,North,Weather,91,2,161
176,2024-01-07,A017,Feeder,South,Weather,155,5,239
177,2024-07-03,A031,Feeder,North,Weather,93,2,187
178,2024-06-24,A007,Transformer,North,Weather,140,3,194
179,2024-03-08,A014,Line,North,Equipment Failure,247,3,259
180,2024-07-04,A018,Line,North,Weather,123,4,107
181,2024-02-01,A016,Line,East,Overload,175,3,359
182,2024-11-18,A038,Breaker,South,Weather,63,5,51
183,2024-12-14,A035,Line,South,Inspection Follow-up,25,3,409
184,2024-06-17,A016,Line,East,Weather,122,2,85
185,2024-08-17,A034,Feeder,East,Vegetation,46,4,254
186,2024-01-28,A024,Transformer,West,Weather,187,3,235
187,2024-10-12,A001,Transformer,North,Equipment Failure,210,3,113
188,2024-08-01,A008,Feeder,South,Inspection Follow-up,43,2,279
189,2024-01-08,A024,Transformer,West,Equipment Failure,234,4,189
190,2024-08-02,A035,Line,South,Vegetation,118,4,185
191,2024-10-19,A010,Transformer,Central,Vegetation,59,1,179
192,2024-10-04,A004,Transformer,Central,Overload,114,3,119
193,2024-03-26,A010,Transformer,Central,Weather,102,2,128
194,2024-01-13,A020,Transformer,East,Inspection Follow-up,33,2,181
195,2024-06-22,A029,Transformer,South,Inspection Follow-up,74,1,249
196,2024-03-19,A006,Switch,North,Inspection Follow-up,17,1,138
197,2024-08-14,A028,Feeder,North,Overload,149,3,196
198,2024-08-12,A036,Line,North,Overload,138,4,263
199,2024-04-06,A037,Breaker,South,Inspection Follow-up,18,2,179
200,2024-10-01,A007,Transformer,North,Equipment Failure,151,5,95
201,2024-09-16,A023,Switch,Central,Inspection Follow-up,78,1,76
202,2024-06-03,A001,Transformer,North,Vegetation,133,1,200
203,2024-11-19,A024,Transformer,West,Overload,117,4,216
204,2024-10-08,A012,Switch,South,Overload,115,4,66
205,2024-01-09,A037,Breaker,South,Weather,187,4,144
206,2024-06-18,A014,Line,North,Equipment Failure,107,3,291
207,2024-03-13,A025,Transformer,Central,Weather,272,5,131
208,2024-04-14,A011,Feeder,Central,Weather,200,2,147
209,2024-07-03,A036,Line,North,Inspection Follow-up,45,3,107
210,2024-11-09,A019,Transformer,West,Inspection Follow-up,41,2,79
211,2024-01-05,A006,Switch,North,Inspection Follow-up,62,2,88
212,2024-05-03,A007,Transformer,North,Weather,231,3,157
213,2024-04-27,A026,Line,Central,Weather,188,5,296
214,2024-09-26,A010,Transformer,Central,Inspection Follow-up,26,2,120
215,2024-03-09,A027,Line,Central,Weather,166,2,328
216,2024-05-10,A026,Line,Central,Equipment Failure,245,4,270
217,2024-08-07,A018,Line,North,Overload,65,3,389
218,2024-04-27,A027,Line,Central,Overload,54,4,348
219,2024-06-16,A013,Switch,Central,Weather,123,3,27
220,2024-11-08,A039,Feeder,West,Overload,129,3,145
221,2024-07-13,A014,Line,North,Vegetation,95,2,391
222,2024-11-04,A023,Switch,Central,Overload,117,2,92
223,2024-11-05,A031,Feeder,North,Weather,146,4,243
224,2024-09-10,A002,Line,South,Overload,143,3,353
225,2024-12-28,A011,Feeder,Central,Inspection Follow-up,31,2,165
226,2024-04-17,A020,Transformer,East,Overload,135,3,212
227,2024-08-11,A008,Feeder,South,Overload,53,3,193
228,2024-07-16,A012,Switch,South,Vegetation,30,2,129
229,2024-05-05,A025,Transformer,Central,Weather,69,4,51
230,2024-11-05,A007,Transformer,North,Overload,82,3,183
231,2024-02-12,A022,Line,North,Overload,82,4,91
232,2024-07-04,A003,Feeder,South,Overload,176,4,473
233,2024-02-17,A036,Line,North,Vegetation,49,1,390
234,2024-01-18,A040,Switch,East,Weather,132,3,95
235,2024-02-24,A032,Switch,East,Equipment Failure,213,5,43
236,2024-02-28,A007,Transformer,North,Vegetation,88,1,124
237,2024-07-15,A003,Feeder,South,Weather,278,4,295
238,2024-10-13,A018,Line,North,Overload,147,2,327
239,2024-12-28,A023,Switch,Central,Inspection Follow-up,76,1,100
240,2024-09-20,A034,Feeder,East,Inspection Follow-up,81,2,466
241,2024-09-21,A004,Transformer,Central,Weather,224,3,134
242,2024-07-14,A025,Transformer,Central,Overload,157,3,80
243,2024-10-20,A003,Feeder,South,Inspection Follow-up,53,2,234
244,2024-03-16,A031,Feeder,North,Vegetation,44,3,387
245,2024-11-27,A009,Breaker,Central,Overload,90,3,41
246,2024-03-23,A038,Breaker,South,Weather,257,3,160
247,2024-05-15,A038,Breaker,South,Equipment Failure,298,5,117
248,2024-12-21,A009,Breaker,Central,Equipment Failure,244,5,63
249,2024-01-17,A012,Switch,South,Inspection Follow-up,29,3,93
250,2024-01-12,A007,Transformer,North,Weather,157,4,87
